m/z	z	Intensity	Peptide #	Ion Type	Index	Charge	Elem Comp	Error
198.4400	1	0						
198.4800	1	0						
198.5200	1	0						
198.5600	1	0						
198.6000	1	0						
198.6400	1	0						
198.6800	1	0						
198.7200	1	0						
198.7600	1	0						
198.8000	1	0						
198.8400	1	0						
198.8800	1	0						
198.9200	1	0						
198.9600	1	0						
199.0000	1	0						
199.0400	1	0						
199.0800	1	0						
199.1200	1	0						
199.1600	1	0						
199.2000	1	0						
199.2400	1	0						
199.2800	1	0						
199.3200	1	0						
199.3600	1	0						
199.4000	1	0						
199.4400	1	0						
199.4800	1	0						
199.5200	1	0						
199.5600	1	0						
199.6000	1	0						
199.6400	1	0						
199.6800	1	0						
199.7200	1	0						
199.7600	1	0						
199.8000	1	0						
199.8400	1	0						
199.8800	1	0						
199.9200	1	0						
199.9600	1	0						
200.0000	1	0						
200.0400	1	0						
200.0800	1	0						
200.1200	1	0						
200.1600	1	0						
200.2000	1	0						
200.2400	1	0						
200.2800	1	0						
200.3200	1	0						
200.3600	1	0						
200.4000	1	0						
200.4400	1	0						
200.4800	1	0						
200.5200	1	0						
200.5600	1	0						
200.6000	1	0						
200.6400	1	0						
200.6800	1	0						
200.7200	1	0						
200.7600	1	0						
200.8000	1	1.20e-4						
200.8400	1	7.83e-4						
200.8800	1	8.24e-4						
200.9200	1	3.76e-4						
200.9600	1	1.13e-4						
201.0000	1	1.20e-5						
201.0400	1	0	2	b	3	1	C8 H13 N2 O4	-234
201.0800	1	2.00e-6	2	b	3	1	C8 H13 N2 O4	-35
201.1200	1	4.15e-4	2	b	3	1	C8 H13 N2 O4	164
201.1600	1	0.00165						
201.2000	1	0.00173						
201.2400	1	8.56e-4						
201.2800	1	2.64e-4						
201.3200	1	3.60e-5						
201.3600	1	0						
201.4000	1	0						
201.4400	1	0						
201.4800	1	0						
201.5200	1	0						
201.5600	1	0						
201.6000	1	0						
201.6400	1	0						
201.6800	1	0						
201.7200	1	0						
201.7600	1	0						
201.8000	1	0						
201.8400	1	0						
201.8800	1	0						
201.9200	1	0						
201.9600	1	0						
202.0000	1	0						
202.0400	1	0						
202.0800	1	0						
202.1200	1	3.08e-4						
202.1600	1	5.91e-4						
202.2000	1	9.60e-4						
202.2400	1	6.87e-4						
202.2800	1	2.32e-4						
202.3200	1	5.00e-5						
202.3600	1	0						
202.4000	1	0						
202.4400	1	0						
202.4800	1	2.33e-4						
202.5200	1	6.58e-4						
202.5600	1	4.54e-4						
202.6000	1	1.69e-4						
202.6400	1	3.30e-5						
202.6800	1	0						
202.7200	1	0						
202.7600	1	0						
202.8000	1	0						
202.8400	1	0						
202.8800	1	0						
202.9200	1	0						
202.9600	1	0						
203.0000	1	0						
203.0400	1	0						
203.0800	1	0						
203.1200	1	0						
203.1600	1	0						
203.2000	1	0						
203.2400	1	0						
203.2800	1	0						
203.3200	1	0						
203.3600	1	0						
203.4000	1	0						
203.4400	1	0						
203.4800	1	0						
203.5200	1	0						
203.5600	1	0						
203.6000	1	0						
203.6400	1	0						
203.6800	1	0						
203.7200	1	0						
203.7600	1	0						
203.8000	1	0						
203.8400	1	0						
203.8800	1	0						
203.9200	1	0						
203.9600	1	3.90e-5						
204.0000	1	4.64e-4						
204.0400	1	7.16e-4						
204.0800	1	3.85e-4						
204.1200	1	1.22e-4						
204.1600	1	2.00e-5						
204.2000	1	0						
204.2400	1	0						
204.2800	1	0						
204.3200	1	0						
204.3600	1	0						
204.4000	1	0						
204.4400	1	0						
204.4800	1	0						
204.5200	1	0						
204.5600	1	0						
204.6000	1	0						
204.6400	1	0						
204.6800	1	0						
204.7200	1	0						
204.7600	1	0						
204.8000	1	0						
204.8400	1	0						
204.8800	1	0						
204.9200	1	0						
204.9600	1	0						
205.0000	1	0						
205.0400	1	0						
205.0800	1	0	2	y-NH3	4	2	C18 H29 N6 O5	-163
205.1200	1	0	2	y-NH3	4	2	C18 H29 N6 O5	32
205.1600	1	0	2	y-NH3	4	2	C18 H29 N6 O5	228
205.2000	1	0						
205.2400	1	0						
205.2800	1	0						
205.3200	1	0						
205.3600	1	0						
205.4000	1	0						
205.4400	1	0						
205.4800	1	0						
205.5200	1	0						
205.5600	1	0						
205.6000	1	0						
205.6400	1	0						
205.6800	1	0						
205.7200	1	0						
205.7600	1	0						
205.8000	1	0						
205.8400	1	0						
205.8800	1	0						
205.9200	1	0						
205.9600	1	0						
206.0000	1	0						
206.0400	1	0						
206.0800	1	0						
206.1200	1	0						
206.1600	1	0						
206.2000	1	0						
206.2400	1	0						
206.2800	1	0						
206.3200	1	0						
206.3600	1	0						
206.4000	1	0						
206.4400	1	0						
206.4800	1	0						
206.5200	1	0						
206.5600	1	0	1	y	4	2	C17 H30 N7 O5	-285
